1053. 25. 9.2665 0.2651 0.9502 0.0
592. 14. 5.5812 0.1132 0.6420 0.0
210. 5.3 2.3475 0.0660 0.2794 0.0
91.35 2.5 0.8358 0.0237 0.1104 0.0
22.65 1.1 0.1862 0.0109 0.0242 0.0
