1764.5 51.5 1538.645 0.795 91.9 0.0
1180. 31. 1039.47 0.46 47.36 0.0
786. 20. 712.92 0.34 36.06 0.0
512. 15. 467.76 0.26 23.97 0.0
318. 12. 292.91 0.19 15.8 0.0
183. 8. 171.14 0.18 9.77 0.0
96.3 5.8 88.82 0.10 5.21 0.0
44.9 3.4 41.69 0.07 2.49 0.0
